property_id,address,neighborhood,property_type,assessed_value,bedrooms,bathrooms,square_feet,year_built,lot_size,assessment_year
T1000,100 Sample Street,Downtown,Detached,972400,1,1,1262,1950,3000,2024
T1001,101 Sample Street,Midtown,Semi-Detached,646638,2,2,1065,1951,3050,2024
T1002,102 Sample Street,North York,Townhouse,900714,3,3,1332,1952,3100,2024
T1003,103 Sample Street,Etobicoke,Condo,964557,4,1,960,1953,3150,2024
T1004,104 Sample Street,Scarborough,Condo Townhouse,645326,1,2,1198,1954,3200,2024
T1005,105 Sample Street,The Beaches,Detached,822323,2,3,1312,1955,3250,2024
T1006,106 Sample Street,Leslieville,Semi-Detached,784708,3,1,1115,1956,3300,2024
T1007,107 Sample Street,King West,Townhouse,760376,4,2,1382,1957,3350,2024
T1008,108 Sample Street,Liberty Village,Condo,638421,1,3,1010,1958,3400,2024
T1009,109 Sample Street,Corktown,Condo Townhouse,637026,2,1,1248,1959,3450,2024
T1010,110 Sample Street,Downtown,Detached,982400,3,2,1362,1960,3500,2024
T1011,111 Sample Street,Midtown,Semi-Detached,656638,4,3,1165,1961,3550,2024
T1012,112 Sample Street,North York,Townhouse,910714,1,1,1432,1962,3600,2024
T1013,113 Sample Street,Etobicoke,Condo,974557,2,2,1060,1963,3650,2024
T1014,114 Sample Street,Scarborough,Condo Townhouse,655326,3,3,1298,1964,3700,2024
T1015,115 Sample Street,The Beaches,Detached,832323,4,1,1412,1965,3750,2024
T1016,116 Sample Street,Leslieville,Semi-Detached,794708,1,2,1215,1966,3800,2024
T1017,117 Sample Street,King West,Townhouse,770376,2,3,1482,1967,3850,2024
T1018,118 Sample Street,Liberty Village,Condo,648421,3,1,1110,1968,3900,2024
T1019,119 Sample Street,Corktown,Condo Townhouse,647026,4,2,1348,1969,3950,2024
T1020,120 Sample Street,Downtown,Detached,992400,1,3,1462,1970,4000,2024
T1021,121 Sample Street,Midtown,Semi-Detached,666638,2,1,1265,1971,4050,2024
T1022,122 Sample Street,North York,Townhouse,920714,3,2,1532,1972,4100,2024
T1023,123 Sample Street,Etobicoke,Condo,984557,4,3,1160,1973,4150,2024
T1024,124 Sample Street,Scarborough,Condo Townhouse,665326,1,1,1398,1974,4200,2024
T1025,125 Sample Street,The Beaches,Detached,842323,2,2,1512,1975,4250,2024
T1026,126 Sample Street,Leslieville,Semi-Detached,804708,3,3,1315,1976,4300,2024
T1027,127 Sample Street,King West,Townhouse,780376,4,1,1582,1977,4350,2024
T1028,128 Sample Street,Liberty Village,Condo,658421,1,2,1210,1978,4400,2024
T1029,129 Sample Street,Corktown,Condo Townhouse,657026,2,3,1448,1979,4450,2024
T1030,130 Sample Street,Downtown,Detached,1002400,3,1,1562,1980,4500,2024
T1031,131 Sample Street,Midtown,Semi-Detached,676638,4,2,1365,1981,4550,2024
T1032,132 Sample Street,North York,Townhouse,930714,1,3,1632,1982,4600,2024
T1033,133 Sample Street,Etobicoke,Condo,994557,2,1,1260,1983,4650,2024
T1034,134 Sample Street,Scarborough,Condo Townhouse,675326,3,2,1498,1984,4700,2024
T1035,135 Sample Street,The Beaches,Detached,852323,4,3,1612,1985,4750,2024
T1036,136 Sample Street,Leslieville,Semi-Detached,814708,1,1,1415,1986,4800,2024
T1037,137 Sample Street,King West,Townhouse,790376,2,2,1682,1987,4850,2024
T1038,138 Sample Street,Liberty Village,Condo,668421,3,3,1310,1988,4900,2024
T1039,139 Sample Street,Corktown,Condo Townhouse,667026,4,1,1548,1989,4950,2024
T1040,140 Sample Street,Downtown,Detached,1012400,1,2,1662,1990,5000,2024
T1041,141 Sample Street,Midtown,Semi-Detached,686638,2,3,1465,1991,5050,2024
T1042,142 Sample Street,North York,Townhouse,940714,3,1,1732,1992,5100,2024
T1043,143 Sample Street,Etobicoke,Condo,1004557,4,2,1360,1993,5150,2024
T1044,144 Sample Street,Scarborough,Condo Townhouse,685326,1,3,1598,1994,5200,2024
T1045,145 Sample Street,The Beaches,Detached,862323,2,1,1712,1995,5250,2024
T1046,146 Sample Street,Leslieville,Semi-Detached,824708,3,2,1515,1996,5300,2024
T1047,147 Sample Street,King West,Townhouse,800376,4,3,1782,1997,5350,2024
T1048,148 Sample Street,Liberty Village,Condo,678421,1,1,1410,1998,5400,2024
T1049,149 Sample Street,Corktown,Condo Townhouse,677026,2,2,1648,1999,5450,2024
T1050,150 Sample Street,Downtown,Detached,1022400,3,3,1762,2000,5500,2024
T1051,151 Sample Street,Midtown,Semi-Detached,696638,4,1,1565,2001,5550,2024
T1052,152 Sample Street,North York,Townhouse,950714,1,2,1832,2002,5600,2024
T1053,153 Sample Street,Etobicoke,Condo,1014557,2,3,1460,2003,5650,2024
T1054,154 Sample Street,Scarborough,Condo Townhouse,695326,3,1,1698,2004,5700,2024
T1055,155 Sample Street,The Beaches,Detached,872323,4,2,1812,2005,5750,2024
T1056,156 Sample Street,Leslieville,Semi-Detached,834708,1,3,1615,2006,5800,2024
T1057,157 Sample Street,King West,Townhouse,810376,2,1,1882,2007,5850,2024
T1058,158 Sample Street,Liberty Village,Condo,688421,3,2,1510,2008,5900,2024
T1059,159 Sample Street,Corktown,Condo Townhouse,687026,4,3,1748,2009,5950,2024
T1060,160 Sample Street,Downtown,Detached,1032400,1,1,1862,2010,6000,2024
T1061,161 Sample Street,Midtown,Semi-Detached,706638,2,2,1665,2011,6050,2024
T1062,162 Sample Street,North York,Townhouse,960714,3,3,1932,2012,6100,2024
T1063,163 Sample Street,Etobicoke,Condo,1024557,4,1,1560,2013,6150,2024
T1064,164 Sample Street,Scarborough,Condo Townhouse,705326,1,2,1798,2014,6200,2024
T1065,165 Sample Street,The Beaches,Detached,882323,2,3,1912,2015,6250,2024
T1066,166 Sample Street,Leslieville,Semi-Detached,844708,3,1,1715,2016,6300,2024
